chrom	start	end	w100	w150	w200	w250	w300	min	mean	stddev	max
chr2L	16470000	16473000	0.293448399	0.276616053	0.389861867	0.363008282	0.381661388	0.276616053	0.330202007	0.0489512599441122	0.389861867
chr2L	16473000	16476000	0.351362463	0.342883772	0.45262261	0.424646961	0.440314307	0.342883772	0.392452314166667	0.0475222522567551	0.45262261
chr2L	16476000	16479000	0.473686624	0.476560164	0.585537744	0.544918855	0.549760566	0.473686624	0.5173584295	0.0446035239419932	0.585537744
chr2L	16479000	16482000	0.53731979	0.536639787	0.65398818	0.605099251	0.604817147	0.536639787	0.579083990333333	0.0452712123243371	0.65398818
chr2L	16482000	16485000	0.718851254	0.716396708	0.830021876	0.766218712	0.761698272	0.716396708	0.751597255	0.0408588960691166	0.830021876
chr2L	16485000	16488000	0.81887242	0.813515828	0.908641514	0.843570292	0.835861623	0.813515828	0.838996250833333	0.0331277398583666	0.908641514
chr2L	16488000	16491000	0.894929391	0.881219775	0.957179533	0.895307866	0.891897609	0.881219775	0.900292324833333	0.0261015833184246	0.957179533
chr2L	16491000	16494000	0.946887989	0.933344336	0.991138734	0.941525941	0.935036905	0.933344336	0.946879706833333	0.0203886767814372	0.991138734
chr2L	16494000	16497000	0.93792656	0.926601434	0.967503887	0.94115577	0.935742524	0.926601434	0.939255268166667	0.0137594830839018	0.967503887
chr2L	16497000	16500000	0.93835077	0.925472302	0.958937716	0.943303546	0.938816433	0.925472302	0.938392178166667	0.0114037184431155	0.958937716
chr2L	16500000	16503000	1	0.999137528	1	1	0.997980607	0.997980607	0.999183123666667	0.000903330178093004	1
chr2L	16503000	16506000	0.982319586	1	0.991260445	0.999446905	1	0.982319586	0.992557753666667	0.00784811687799226	1
chr2L	16506000	16509000	0.844597001	0.889950411	0.882118137	0.914546818	0.917492235	0.844597001	0.882216933833333	0.0293822605361914	0.917492235
chr2L	16509000	16510998	0.835647379	0.893895913	0.871660624	0.910527205	0.913659227	0.835647379	0.876839621166667	0.0321503691281056	0.913659227
